评论ID,分词结果
262753390768,明天 还要 上班 却 依旧 打到 了 十二点 半 前来 复习 圣经
262521975984,10 年 过去 了 我 给 了 ow 一万个 小时
261563730993,考古 来 了
262100208496,怀念
261938451936,听 哭 了
261288342848,考古
260362502161,时间 好 快 啊
260141944273,那个 时候 没有 能 玩 守望 先锋 的 电脑 现在 却 不再 觉得 这个 游戏 足够 有趣 以前 的 憧憬 憧憬 的 以前
260979677600,这 振动 好 带感
260785401424,泪目 现在 是 真的 玩不动 了
259806787761,2029 年 前来 打卡
258812670785,2016 那年 九月 就要 去 当兵 了 后来 我 也 不 上学 了 就 在 家里 玩 了 几个 月 守望 先锋
258948290720,永远 也 忘不掉 那天 下午 刚买 了 账号 第一把 网吧 国王 大道 玩 dj 感叹 怎会 有 3a 质感 的 网游
257393683585,为什么 这 视频 我 手机 在 震动
258100113232,依稀记得 16 年 的 时候 我 初一 第一次 看 这个 视频 的 时候 我 特别 想 玩 守望 先锋 但是 因为 要 买 只能 看 我哥 他 玩 到 现在 国服 回归 我 才 真正 圆梦 但 小时候 的 感觉 已经 回不来 了
257091726081,诶 好 感慨 啊
258651402513,老番
257871156704,千万别 玩 守望 先锋 国服 排位
257758578496,哇哇 哇 考古 考古
257714710832,今天 和 同事 聊到 了 这个 梗
257593616544,你 会 看到 吗
257183817424,2025 守望 先锋 回归 有人 来 回味 经典 吗
257586705712,有 的
256295120193,时过境迁 物是人非
256946242336,洛阳 铲
256139245617,rip
256139477825,既 是 这位 小哥 也 是 那年 夏天 更是 那 款 游戏
255928883521,标题 说 得 太 对 了
255890309969,泪目
256553770048,我 怀念 的 不是 overwatch 而是 16 年 那个 夏天
255637359217,感慨万千
255624438353,物是人非
255596532657,现在 又 看一遍 感觉 五味杂陈 的
255586160737,回来 了 但 不 多
255529389745,回来 了
255470548353,回到 那个 夏天 了
256108172832,国服 回归 前来 考古
256139241585,rip 既 是 这位 小哥 也 是 那年 夏天 更是 那 款 游戏
255280699697,都 回来 了 整整 八年
255217545313,今夕 是 何年
255922944592,开服 了 回来 回忆 一下 一路 走 好
255834606688,还 能 回去 吗
255111153521,彦 祖 你 又 在 按 时间 排序 了 休息 一下 吧
255838163488,要你管
255075230241,兄弟 们 开服 了 donotplayoverwatch
255752315120,明天 国服 就 回归 了 今天 回来 重温 一下
255411286672,好 快 啊
254578511969,宛如 昨日 梦境 一般 令人 唏嘘
254309167969,现在 还会 唱
253769618273,感觉 已经 刻 在 DNA 里 这么 多年 了 我 一 看到 overwatch 这个 名词 我 就 能 开始 唱 了
252461116433,吸 一口
251839274657,你 在 说 什么 什么 叫 暴雪 退出 中国 后 回归 了 别闹 了 守望 先锋 又 发新 CG 宣传片 了 叫 双龙 期待 游戏 正式 发售 吧
252269392000,打开 收藏夹 从 最后 一页 开始 看 有种 走马灯 的 感觉
252234177984,这 一刻 我 好像 回到 了 2016 年
251660588241,走马灯
252042636704,走马灯 了 我 回不去 2016 了
251943720672,当年 天天 听 一遍
251928772784,我 知道 你 会 回来 搜 这个 视频 的
251898524560,今夕 是 何年
251326625473,上 香
251314715329,回来 了 都 回来 了 哈哈哈哈
251837834128,集结
251257695873,do not play overwatch
251623556640,前来 考古 过气 了
251515250944,守望 先锋 1 已经 随 你 回家 了
251423158736,看 了
250679683793,回来 了 英雄 集结
250256886320,上古 经典
249235762129,会 回来 的
247725338816,回忆 一秒 青春
247719716064,old happy days
247478843120,快 回来 吧
247265337152,6v6 回来 特地 回来 听听
246807765025,感谢 这 首歌 让 我 退出 了 今晚 的 6v6 do not play overwatch
246607290177,不 信 现在 还有 人
246891587136,Heroes never die ! 它 回来 了
246890684544,欸 川 普當選 守望 6v6 今年 是 幾年 來 著
246444912305,翻到 我 第一个 收藏 的 视频 哎带 打开 看看
246176119953,走 了 也 有 五年 了 安息
246104250816,缅怀
244545485520,5 年 过 的 好 快 RIP Etika
243987029169,令人 感叹
243974690385,回不去 了
247719840272,同款 头像
247378377025,回复 : 你 怎么 用 我 老婆 的 照片
243612305793,哎 物是人非
243321363968,不胜唏嘘 啊
243273157728,令人 唏嘘
242845456592,回 不到 那个 夏天
242818638081,我 哭 了
242711647345,回不去 的 16 年
242253715969,听说 主播 也 在 玩 这个 让 人 沉迷 的 游戏 呀
242092480401,来晚 了
241083700641,这 小哥 跟 ow 一起 rip 了 物是人非 了 回不去 的 16 年
242200804193,不是 要 回归 国服 了 吗
240558777728,我 的 手机 在 震动
238520529152,回来 吧 守望 先锋
238170064832,原曲 是 什么
238122026528,前来 考古
237949678896,真的 怀念 16 年 的 夏天 啊 当时 上 大二 真的 是 人生 最 快乐 的 时光 了
236524607120,赛博 老八
236481622944,现在 看 真的 搞笑 我 18 年 玩 的 ow 当时 就 觉得 是 cf 和 lol 缝 出来 的 也 没有 很 入迷 后面 读 大学 又 玩 了 几个 月 就 再也 没玩 了
234882019424,令人 感叹
228349450864,还是 守望 黑 神话 悟空 吧 你们 来 不来
228128840880,好 游戏 已经 不 在 了
225719200768,都 回不去 了
225611942304,16 年 的 守望 真的 太毒 了 那 肾上腺 持续 的 感觉 一下 线 就 觉得 心肝 脾肺 肾 在 狂挠
226354600624,懷念
228732316880,刚出 的 时候 正好 读 大学 晚上 五黑 准备 打 一把 就 睡 打 完一看 天亮 了 要 早 八 了
225611580288,回来 了
224092858416,我 想 玩 ow1
223526466848,重温 经典
223250250016,考古
222912377616,守望 1 八周年 了 给 守望 1 上个 香
221791457760,rip 守望 先锋 确实 是 个 好 游戏 就 跟 这个 视频 一样 只 适合 在 回忆 里
221132190192,这人 像 Dj
220838544592,快 十年 了 都
220126589664,这么 多年 了
220056346736,R . I . P
219943588912,怀念
219707780128,原来 你 的 离去 都 已经 要 五年 了 时间 太快 不忍卒读
222872007056,啊 应该 远超 5 年 吧 我 记得 老早 在 19 年 之前 就 已经 走 了
222872890656,回复 : 那 没有 我 印象 里 是 19 - 20 差不多 走 的 毕竟 ow 那个 时候 还 有些 热度
222881613888,回复 : 好像 也 是 总 感觉 他 走 的 太快 了 玩 ow 后 没 直播 多久 就 突然 消极 表态 然后 传出 新闻
219354953744,怀恋 一下 青春
218496165264,你 不让 我 玩 ow 关 我 玩 ow2 什么 事情 . jpg
218252646576,这个 视频 刚发 的 时候 还 在 上 小学 的 我 每天 上 暴雪 官网 盼 着 能 玩 上 ow 直到 高考 完才 玩 上 结果 玩 了 半年 就 成 ow2 了 后来 国服 也 没 了
218093380752,原来 已经 是 那么 多年 前
217446174576,这 视频 真的 令 我 印象 深刻 的
217304056528,昨天晚上 八连 跪 打 到 两点 前来 圣地 巡礼
216465682768,回来 看 一眼
216425084096,斯人 已逝
216419878512,回来 了 都 回来 了
216268348192,考古
216223620592,故人 已 不 在 故游 又 回来 了
216214642640,我 想 起来 了 我 全都 想 起来 了 我 不是 王者 荣耀 玩家 我 不是 猫和老鼠 玩家 我 不是 蛋仔 派对 玩家 我 不是 和平 精英 玩家 我 不是 英雄 联盟 玩家 我 不是 星穹 铁道 玩家 我 不是 第五 人格 玩家 我 不是 元梦之星 玩家 我 不是 CSGO2 玩家 我 不是 永劫 无间 玩家 我 不是 暗区 突围 玩家 我 不是 使命 召唤 玩家 我 不是 穿越 火线 玩家 我 不是 幻兽 帕鲁 玩家 我 不是 明日 之后 玩家 我 不是 明日 方舟 玩家 我 不是 钢铁 雄心 玩家 我 不是 QQ 飞车 玩家 我 不是 梦幻 西游 玩家 我 不是 来自 星尘 玩家 我 不是 少女 前线 玩家 我 不是 火影忍者 玩家 我 更 不是 三国 杀 玩家 也 绝非 战双 帕弥什 玩家 更 不 可能 是 原神 玩家 我 不是 ... 我 不是 ........ 原来 ... 原来 ....... 原来 我 是 我 是 尊贵 的 守望 先锋 玩家 啊 守望 先锋 启动 孩子 别怕 我 带 着 末日 铁拳 来 救 你 了
216203680640,守望 先锋 国服 回归 来 考古 一下
215905471344,时隔 八年 再次 来到 这里
215605184336,这 视频 怎么 还 能 让 手机 震动 的
213098683376,现在 想想 确实 不该 玩 守望
212930496128,2024 来 考古
212385979440,当 了 八年 云 玩家 一把 没玩过
212267762016,2023 年 守望 先锋 停服 了 这个 小哥 也 在 2019 年 去世 了 唉
211705569568,物是人非
211866584000,来 考古 了
211090678848,当年 真是 看死 我 了
208986234848,其实 七年 半 过去 了 我 一直 也 忘不了 第一次 看到 宣传 CG 的 惊喜 忘不了 第一次 打开 游戏 的 激动 忘不了 每 一张 地图 每 一位 英雄 其实 外服 也 挺 好 的 但 我 还是 想要 一个 自己 的 服务器 其实 守望 2 也 挺 好 的 但 我 还是 喜欢 那个 陪伴 我 五年 多 的 守望 先锋 其实 我 只是 舍不得 这 款 游戏 和 那段 青春
208964549744,RIP
208755062160,好 想 回到 那 一年
208735955856,那时 我 可 开心 了
207936403776,当时 刚 中考 完 在 b 站 首页 刷 到 了 这个 视频 于是 就 开启 了 两个 月 的 吃饭 睡觉 打 守望 的 生活 家门 都 不出 是 真 上瘾
207647528272,物 非人 非
207598984592,快 8 年 了 啊 这么久 了 嘛 真是
206984347600,考古 令人 感慨
206405444480,考古
205973477040,突然 就 想 起来 这个 旋律 这个 视频 了
205965538768,幻兽 帕鲁 时期 考古
205840923664,那 时候 我 还 初一 都 8 年 了
204844002784,狗 都 不 玩 守望 先锋
203345192064,考古
201663092064,这个 旋律 我 至今 记忆犹新
201663340752,输 了 艹 赢 一把 就 睡 赢 了 赢得 不爽 再 来 一把 又 赢 了 没什么 感觉 再 来 一把 一 看表 早上 5 点
201664171840,回复 : 哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈
200954240688,永远 喜欢 守望 先锋
200836065296,如果说 我 妈妈 告诉 我 不要 玩 守望 先锋 我会 毫不犹豫 的 抹杀 他
200280456144,物是人非
200148543680,青春 啊
199782594864,当时 看 这 视频 确实 快乐
198843505568,RNM 退钱
198079985504,致 我 逝去 的 青春 那 时候 我 才 上 初中
198076357536,这个 视频 好多 考古 啊 真的 洗脑 当时
197873277856,都 不 一样 了 唉
197761496064,赢 一把 结果 打 了 一 晚上
196208730176,2023 前来 考古
196045775696,每次 打开 这个 视频 仿佛 回到 了 16 年 的 夏天 可惜 物是人非 这位 主播 没 了 守望 先锋 也 没 了
195697641184,明年 也许 有国服
195683886576,打卡
195463003216,好多年 了
195260098816,物是人非
194967702688,打卡
194745398912,考古
194718367504,守望 先锋 给 爷爷 爬 RNM 退钱
194702072640,可惜
193964092848,英雄 不再 回应 呼唤
193278505856,第一次 评论 2019 - 03 又 翻到 了 一路 走 好 吧
193006147264,中国队 拿下 韩国队 纪念 给 cnow 跟 青春
192852536432,哎 时光 好 残忍 7 年 了 守望 死 了 现在 我 还好 有 朋友 在 国际 服有 号 我 今天 在 国际 服 的 守望 先锋 2 玩 了 几个 小时 其实 游戏 本身 我 还是 爱 的 但是 一切 物是人非 在 国际 服 遇到 了 很多 外国人 交流 也 只能 打 英文 我 还是 喜欢 国服 可以 交流 的 环境 继续 等 吧 希望 国服 能 复活
192704871536,太 可惜 了
190959000720,如今 再 看 大 预言家 啊
191039055616,以前 的 守望 先锋 和 etika 都 死 了
190540212256,逆天
188764096672,如日中天 到 退出 中国 再 到 联赛 解散 物是人非
188516120672,物 非人 非
188078443312,呜呜 爷 的 青春
187646120480,当年 的 暴雪 现在 的 暴雪 唉
186641373568,再也 回不去 那 一年
186112552176,2023 年动视 暴雪 作死 后 前来 考古
191039102224,目前 暴雪 被 微软 收购 了 某 迪克 2024 年 滚蛋 希望 能 好点 吧
184986133296,时代 的 眼泪
184923489376,唉 暴雪
184440816416,唉 时过境迁 物是人非
184262831584,走 好
183828025440,这个 世界 需要 英雄
183128580544,初二 存 两周 钱 找 网吧 网管 用 支付宝 买 的 高中 除了 高三 每个 月 都 会 抽出 世界 来 玩 暴雪 你 是 真的 狗 粗森
182808406512,为啥 这 视频 会 震动
182652864208,当时 应该 听 他 的 建议 的 也许 从 一 开始 就 不该 玩
182457391856,16 年 我 才 小学 注册 b 站 账号 就 专门 看 鬼畜 买 人生 第一个 独显 花 198 就 专门 为了 ow
182452145120,梦回 2016
182414206208,2023 年 8 月 22 日 考古 守望 先锋 已经 离开 这个 世界 已经 没有 英雄 了
181999590448,令人 感叹
181546300432,突然 又 刷 到 泪目 了
181531652496,时代 的 眼泪
181326990688,16 年 的 时光 已经 回不来 了
181196867216,暴雪 你 TM 真 该死 啊 呜呜 呜
181138032880,你 为什么 打开 时间 排序
184953529568,因为 其他 游戏 没有 跟 这个 相同 的 手感 我 真的 很想 玩半藏 但 暴雪 太 恶心 了 呜呜 呜呜
181121784560,手机 灰 都 给 我 震 出来 了
181067902416,令人 感叹
181064697248,暴雪 你 对得起 热爱 ow 的 玩家 们 吗
181024132656,7 年 过去 百感交集
180989033856,回忆 涌 上 心头
180966227248,R . I . P
180950013616,敬 我 的 第一款 fps 游戏 第一次 上 排行榜 的 游戏 第一次 通宵 的 游戏 第一次 找到 能面 基 的 网友 的 游戏 第一款 一天 登顶 差评 榜首 的 游戏 守望 先锋 RIP with Bobby
180914238560,砂壁 暴雪
180904621968,steam 差评 过来 的
180890271152,一手 好牌 打 稀烂 的 典型
180857014944,一语 成 谶 经历 了 好多 人生 又 有 多少 个 六年
180817171072,七年 过去 了 唱歌 的 黑人 小哥 不 在 了 OW 也 从 最佳 游戏 变成 了 差评 如潮 物是人非 事事 休
180814772800,想到 了 特意 回来 看看
183822656768,/ 乛 乛 乛 乛 乛 乛 伟大 的 揭幕 表演 \ ____________
180784006992,暴雪 你 该死
180608828944,暴雪 你 真 该死 啊
180585603552,唉 可叹 啊
180551397744,差评 榜首 时代 报道 第一次 看 的 时候 还 在 初二 现在 大二 了
180546462016,这下 预言家 了
180535602960,一语 成 籖 了 属于 是
180525489344,2023 年 8 月 12 日 守望 先锋 归来 上架 steam 后 成功 达成 差评 如潮 成就 差 评率 超越 三国 杀鬼谷 八荒 崩坏 3 等 游戏 登顶 差评 榜 第一 同时 创下 最快 登顶 的 记录
180514527488,差评 如潮 时代 报道 鬼畜 和 ow 的 时代 一起 消失 了
180450921728,谢谢 你 已经 不玩 了
179887179312,法克
179810070160,我 靠 手机 怎么 在 震
178836562288,借不掉 玩 了 这么久 还是 很 喜欢 玩
178202432096,上 香
176573885104,当年 还 上 高中 呢 没想到 过 了 这么久 了
177755760704,当年 上 小学 班 里面 几个 男生 整天 在 说 哦 在 这 停顿
176111885328,当年 的 守望 先锋 是 真好玩
175959215024,上线 Steam 咯
175187653424,时代 的 眼泪 啊
175018922736,考古
174873614400,令人 感叹
172866342480,我 就 说 为什么 当初 看 迈尔斯 的 时候 总 感觉 有股 熟人 的 感觉
172415506384,周围 当年 打 守望 的 朋友 现在 都 一起 跑 去 打 apex 了
172013067648,唯一 的 获得 年度 最佳 游戏 的 网游 终于 在 暴雪 的 神奇 操作 之下 成为 了 垃圾
170774709184,7 年 了 才 知道 他 说 的 都 是 对 的
177510471072,我 已 追爱 海外 了 继续 玩
169380985840,原 up 转移 了 这个 视频 鬼畜 主角 也 离开 了 人间 鬼畜 主题 的 游戏 也 关闭 了 国服 只 留下 了 回忆
169774845152,7 年 就 像 一场 梦
170212105120,我 还是 忘不了 他
169046754032,令人 感叹
168623012288,守望 先锋 本来 是 可以 成为 一个 伟大 的 作品 的
168197221904,什么 都 没 剩下 好像 从来 没有 过 一样
167021446368,唉 物是人非 而 这 一切 也 就 才 六七年
166754452560,2023 年 考古 可惜 了 一个 好 游戏
166673389808,因为 这个 鬼畜 入 的 坑 当初 看 还是 初中 一直 想 玩 21 年 买 了 电脑 玩 了 一年 多 的 一代 还 没 玩 就 更新 成 二代 了
166653456992,人 没 了 守望 再也 回 不到 那个 夏天
165847459760,为 信仰 充值 之后 都 没 怎么 玩 然后 就 寄 了
164175931856,世事难料
163918646624,确实 没 必要 了 玩游戏 主要 还是 一个 社群
163786358192,原 UP 主把 鬼畜 视频 迁移 到 了 现在 这个 号 视频 里 的 黑人 小哥 2019 年 逝世 了 2023 年 1 月 23 日 守望 先锋 国服 关服 一切 回忆 只 剩下 这个 视频
163565015984,好 了 现在 想 玩 也 玩 不到 了
163326516112,你 再也 回 不到 2016 年 守望 先锋 刚 发售 的 那个 夏天 了
162851971184,2023 前来 考古 overwatch 和 这位 主播 一起 走 了 R . I . P
159887680480,这个 世界 上 没有 守望 先锋 了 但是 真的 没有 了 吗
159449752912,有时候 做梦 还是 会梦到 自己 玩 守望 梦里 的 我 真的 很 开心
159065786608,一言难尽
157672524752,一两年 没玩 了 前 几天 听说 国服 已经 没 了 突然 想 起来 16 年 那会 还是 个 快乐 的 大学生 如今 早已 是 老 社畜 了 TMD 都 是 青春 呀 如今 别说 青春 的 尾巴 连 青春 的 屁 都 闻 不到 了
157466573280,已经 好几个 月 没有 ow 玩 了 我 以为 我会 很 难受 但是 我 还是 很 普通 的 找到 了 替代 游戏 挺 可惜 的 我 曾经 以为 我可以 玩 一辈子 ow
155797558864,考古 来 了
154567705520,回来 吧 守望 先锋 我 最 骄傲 的 信仰 历历在目 的 沃港 眼泪 莫名 在 流淌 依稀记得 上 勾拳 还有 给力 的 双飞 把 安娜 都 给 曹飞 通宵 熬夜 都 不累
152322563104,世事难料 啊
151456309184,他 说得对
149586623216,up 主没 了 黑人 小哥 没 了 ow 也 没 了 啥 都 没 了
149987160368,黑人 小哥 咋 了
150002378096,回复 : 19 年 去世 了
150277489216,回复 : 啊 这
151043335392,up 主 咋 也 没 了
151076158608,回复 : 之前 出 了 事 把 视频 全删 了 这个 UP 就是 官方 用来 补档 的 改革 春风 也 是
149159376576,还好 我 2018 年初 突然 上 不 去 号 不 知道 为什么 就 再 没 上 了
149157838368,唉 世事难料
148827832576,当初 怎么 就 没 听 你 的 呢
148820265040,我会 永远 记得 守望 先锋
148810149968,2019 年 这个 小哥 得 了 抑郁症 自杀 了 今天 国服 没 了 唉
148828647840,有缘 再见
148794918096,再见
148789601216,再见
148781422400,6 年 后 我 愿称 这个 视频 是 个 预言家
148780477728,再见 了 守望 先锋
148755624512,再见 了 守望 先锋
148753113808,确实
148750364192,再见 啦
148747102272,再见 啦
148746086128,被 强制 戒 了
148743410448,没有 再见 了 守望 先锋
148742311040,结束 了 入 坑 视频
148740221024,2023 年 1 月 24 号 守望 先锋 国服 完结 回来 考个 古
148739588128,这个 世界 不再 需要 更 多 的 英雄 了
148739644800,哎 可惜 了
148732749040,再见 了 所有 的 英雄
148716851424,再见 了
148716554832,已经 结束 啦
148700770368,就 这样 吧
148067392256,都 变 了 bro
148000124064,现在 国服 也 没 了
147995883808,这下 玩 不 着 了
147534998224,真想 回到 那个 夏天
147532834080,一眨眼 六年 过去 了
147194095584,物 非人 非
146892109344,人 没 了 游戏 没 了 我 的 青春 也 没 了
146797407280,马上 就 想 碰 也 碰 不了 了
146730352112,令人 感叹
146686035136,已经 结束 了
146548589504,记得 当时 看到 这个 视频 的 时候 还 小 玩 不 上 ow 只能 看 老 e 播 现在 也 玩 上 了 但 却 要 停服 了
146539471552,这下 真成 别碰 ow 了
146526781040,守望 先锋 国服 即将 在 2023 年 农历 大年初一 停服 令人 感慨
146497335904,和 守望 先锋 都 归西 去 了
146480916896,人 也 没 了 游戏 也 没 了
145857301776,再见 守望 先锋
145271337856,难受
145243781440,RIP & RIP
143773938912,已经 结束 啦
143423076736,16 年 第一次 加入 守望 看 了 这个 视频 还有 rather be 现在 准备 关服 突然 想起 这个 视频 了
143428048448,可惜 这个 小哥 也 去 了 天堂 了 就 像 守望 先锋 和 16 年 的 夏天 一样 一去不复返了
143456235360,回复 : 他 咋 了
143625216832,回复 : 自杀 去世 了 b 站上 有 关于 这个 小哥 的 视频 最后 被 网络 暴力 抑郁症 走 的 可以 去 看看 很 可惜
143633997536,回复 :
142475006096,令人 感叹
142167574416,从 初中 到 大学
141619999936,他 走 了 守望 也 走 了
141578757776,R . I . P & R . I . P
141289475408,爱 游戏 的 人 走 了 游戏 也 垮 了 原来 已经 过去 这么 多年 了 吗
140564080224,再见 了
140067007424,RIP
139910390560,守望 先锋 我 的 守望 先锋
139906004112,国服 没 喽
139893611488,我 游戏 没 了
139360751936,现在 是 守望 归西 时间
139081271456,再见 了
139070956848,诶 真的 没 了
138793114368,这次 真 碰 不到 守望 了
138739941408,令人 感叹
138731915344,2022 守望 寄
138702457472,感谢 曾经 的 快乐
138637849584,令人 感叹
138559491792,原来 这 就是 感慨
138379789392,令人 感叹
138262580160,当年 没有 守望 玩 我 要死 了 我 要 吸 守望 先锋 现在 唉
138155849296,守望 先锋 逝去 了
138125876080,当年 没有 守望 玩 我 要死 了 我 要 吸 守望 先锋 现在 哈哈
138123728176,缅怀 青春 吧 兄弟 们
138097692688,一切 归终
138094252512,这下 真 没 守望 先锋 玩 了
138049201920,守望 先锋 归西
137941570704,这下 真的 别玩 守望 先锋 了
137691923008,守望 先锋 归来 而 你 却 还 没 回来
137135923600,16 年 暑假 去 同学 家 玩 守望 先锋 当时 家里 电脑配置 不够 特别 羡慕 同学 的 电脑 后来 有 了 自己 的 电脑 却 没 时间 没 精力 打游戏 了
137105930064,守望 先锋 刚出 的 时候 是 最 好玩 的 后来 越改越 拉 彻底 臭 了
136464119456,R . I . P 无论是 人 还是 游戏
136070799888,哥 啊 你 不 知道 今年 ow2 出来 之后 又 出 了 个 主题曲 好 难听 甚至 rap 不如 这个 好听
135900485696,守望 出 2 了 希望 你 也 玩 得到 吧
135886610656,let it go
135163627424,出 2 和 队友 们 一起 回来 试玩 了 昨天 玩 到 四点 我 又 来 重温 这个 视频
134306304128,"新手 不 推荐 玩 t , 因为 t 是 一个 团队 的 核心 t 不会 玩整 把 没指望 也 不 建议 玩奶 因为 ow 的 奶要 兼顾 自保 和 输出 也 不 希望 玩 c 玩 c 的 老手 太 多 不要 占 了 老手 位置 新手 不 建议 玩 竞技 竞技 模式 需要 一定 实力 否则 队友 会 很 高压 也 不 推荐 玩 快速 因为 快速 也 有 老手 玩 不要 被 老手 炸鱼 也 不 希望 玩 街机 和 人机 因为 大家 在 这 俩 模式 是 放松 娱乐 不 想要 因为 新手 缘故 还 输掉 一局"
137691952064,总结 没得 玩 了
134289458816,守望 区 up 快 混不下去 了 求 支持 BV1ue411V74g
137648788208,ylg
134245329456,来 考古 了 现在 已经 守望 2 了 但是 这个 黑人 博主 再也 见 不到 了 ...
134151005184,令人 感慨
134001284288,时至今日 再 看 这个 视频 emmm
133779753200,来 考古
133701712624,闪光 吃 榴莲 已经 没 了
133494918768,守望 已死 悲
133463341440,花 已 尽 事事 休
133409422880,R . I . P
133299044416,没想到 已经 六年 了
133227351168,估计 这个 小哥 永远 也 想不到 曾经 的 overwatch 变成 了 这样
133196579504,不臊 皮 真心 令人 感叹
133192951136,最近 玩 ow2 突然 想起 他 了 R . I . P
133086277472,R . I . P
133082675104,永不 过时
133047187600,考古
133036953008,ow2 来 了
132976525872,etikaow2 来 了 你 快 来 玩
132841010720,为什么 我 苹果 手机带 耳机 看 这个 视频 手机 一直 在 震动
132894871120,你 想 表达 什么
132903495728,回复 : 我 怀疑 是 手机 坏 了
133009673200,苹果 的 功能 设置 里 找 找 可以 关
132835460304,6 年前 上头 如今 再次 上头
132665969584,确实
132610307952,守望 先锋 已死
132604354272,2022 年 OW2 来 了 小哥 不 在 了 多 希望 他 2 还来 一次
132593082944,希望 小哥 能 在 天堂 玩 ow2
133996297952,他 以 巴蒂斯特 重生 永远 的 留在 守望 先锋 了
132566165520,ow2 回来 啦 列表 几年 前 在线 的 都 回来 了
132523039296,ow2 终于 来 了
132508717120,我 感觉 这次 更新 又 回到 了 最初 的 OW 我 已经 停不下来 了
132481641600,rlp
132481048464,回来 啦
132469365200,还有 两 小时 2 他 就 来 了
132469317504,RIP
132438828560,守望 先锋 今天 关服 了 明天 它 就 归来 了
132421610656,2022 突然 想 起来 了 回来 看看
132414845808,真 就 玩 不了 了
132402272448,考古
132390958928,终于 能玩到 ow 了 虽然 是 2
132466122464,守望 先锋 1 是 2016 最佳 游戏 而 守望 先锋 2 可能 是 2022 最 好玩 的 游戏
132390577792,再 转 一遍 没有 守望 先锋 玩 我 要死 了
132388734688,今天 是 没有 守望 先锋 的 一天
132383118448,想不到 这 老哥 也 走 了
132382117520,我 回来 考古 啦
